trv_loc_nm,yw,bubble_cnt
대전광역시,201904,4
울산광역시,201904,2
세종특별자치시,201904,1
경기도,201904,17
강원도,201904,18
충청북도,201904,6
충청남도,201904,9
전라북도,201904,7
전라남도,201904,7
경상북도,201904,11
경상남도,201904,10
제주특별자치도,201904,5
서울특별시,201905,13
부산광역시,201905,11
대구광역시,201905,7
인천광역시,201905,13
광주광역시,201905,5
대전광역시,201905,5
울산광역시,201905,3
세종특별자치시,201905,1
경기도,201905,17
강원도,201905,17
충청북도,201905,8
충청남도,201905,11
전라북도,201905,11
전라남도,201905,14
경상북도,201905,15
경상남도,201905,13
제주특별자치도,201905,5
서울특별시,201906,16
부산광역시,201906,16
대구광역시,201906,12
인천광역시,201906,15
광주광역시,201906,7
대전광역시,201906,7
울산광역시,201906,4
세종특별자치시,201906,2
경기도,201906,28
강원도,201906,26
충청북도,201906,14
충청남도,201906,20
전라북도,201906,18
전라남도,201906,22
경상북도,201906,29
경상남도,201906,25
제주특별자치도,201906,5
서울특별시,201907,15
부산광역시,201907,9
대구광역시,201907,5
인천광역시,201907,11
광주광역시,201907,3
대전광역시,201907,4
울산광역시,201907,2
세종특별자치시,201907,1
경기도,201907,17
강원도,201907,15
충청북도,201907,6
충청남도,201907,9
전라북도,201907,7
전라남도,201907,7
경상북도,201907,11
경상남도,201907,10
제주특별자치도,201907,5
서울특별시,201908,17
부산광역시,201908,10
대구광역시,201908,6
인천광역시,201908,13
광주광역시,201908,4
대전광역시,201908,5
울산광역시,201908,2
세종특별자치시,201908,1
경기도,201908,19
강원도,201908,16
충청북도,201908,7
충청남도,201908,10
전라북도,201908,7
전라남도,201908,8
경상북도,201908,13
경상남도,201908,11
제주특별자치도,201908,5
서울특별시,201909,17
부산광역시,201909,12
대구광역시,201909,7
인천광역시,201909,14
광주광역시,201909,4
대전광역시,201909,5
울산광역시,201909,2
세종특별자치시,201909,1
경기도,201909,23
강원도,201909,22
충청북도,201909,9
충청남도,201909,13
전라북도,201909,10
전라남도,201909,12
경상북도,201909,17
경상남도,201909,15
제주특별자치도,201909,5
서울특별시,201910,13
부산광역시,201910,6
대구광역시,201910,5
인천광역시,201910,10
광주광역시,201910,3
대전광역시,201910,4
울산광역시,201910,2
세종특별자치시,201910,1
경기도,201910,17
강원도,201910,11
충청북도,201910,7
충청남도,201910,9
전라북도,201910,6
전라남도,201910,8
경상북도,201910,10
경상남도,201910,10
제주특별자치도,201910,4
서울특별시,201911,13
부산광역시,201911,7
대구광역시,201911,5
인천광역시,201911,10
광주광역시,201911,3
대전광역시,201911,4
울산광역시,201911,2
세종특별자치시,201911,1
경기도,201911,18
강원도,201911,11
충청북도,201911,7
충청남도,201911,10
전라북도,201911,6
전라남도,201911,10
경상북도,201911,11
경상남도,201911,11
제주특별자치도,201911,4
서울특별시,201912,13
부산광역시,201912,7
대구광역시,201912,5
인천광역시,201912,11
광주광역시,201912,3
대전광역시,201912,4
울산광역시,201912,2
세종특별자치시,201912,1
경기도,201912,18
강원도,201912,12
충청북도,201912,7
충청남도,201912,10
전라북도,201912,6
전라남도,201912,10
경상북도,201912,11
경상남도,201912,11
제주특별자치도,201912,5
서울특별시,201913,13
부산광역시,201913,7
대구광역시,201913,5
인천광역시,201913,10
광주광역시,201913,3
대전광역시,201913,4
울산광역시,201913,2
세종특별자치시,201913,1
경기도,201913,18
강원도,201913,12
충청북도,201913,7
충청남도,201913,10
전라북도,201913,7
전라남도,201913,10
경상북도,201913,12
경상남도,201913,14
제주특별자치도,201913,5
서울특별시,201914,13
부산광역시,201914,7
대구광역시,201914,5
인천광역시,201914,10
광주광역시,201914,4
대전광역시,201914,4
울산광역시,201914,2
세종특별자치시,201914,1
경기도,201914,20
강원도,201914,12
충청북도,201914,9
충청남도,201914,12
전라북도,201914,8
전라남도,201914,11
경상북도,201914,15
경상남도,201914,15
제주특별자치도,201914,5
서울특별시,201915,13
부산광역시,201915,8
대구광역시,201915,5
인천광역시,201915,11
광주광역시,201915,3
대전광역시,201915,4
울산광역시,201915,2
세종특별자치시,201915,1
경기도,201915,20
강원도,201915,13
충청북도,201915,9
충청남도,201915,12
전라북도,201915,9
전라남도,201915,11
경상북도,201915,13
경상남도,201915,13
제주특별자치도,201915,5
서울특별시,201916,13
부산광역시,201916,8
대구광역시,201916,6
인천광역시,201916,12
광주광역시,201916,4
대전광역시,201916,4
울산광역시,201916,2
세종특별자치시,201916,1
경기도,201916,21
강원도,201916,14
충청북도,201916,9
충청남도,201916,14
전라북도,201916,9
전라남도,201916,12
경상북도,201916,13
경상남도,201916,13
제주특별자치도,201916,5
서울특별시,201917,14
부산광역시,201917,8
대구광역시,201917,6
인천광역시,201917,12
광주광역시,201917,4
대전광역시,201917,5
울산광역시,201917,2
세종특별자치시,201917,1
경기도,201917,22
강원도,201917,15
충청북도,201917,10
충청남도,201917,14
전라북도,201917,9
전라남도,201917,11
경상북도,201917,14
경상남도,201917,13
제주특별자치도,201917,5
서울특별시,201918,16
부산광역시,201918,11
대구광역시,201918,7
인천광역시,201918,14
광주광역시,201918,5
대전광역시,201918,6
울산광역시,201918,3
세종특별자치시,201918,1
경기도,201918,29
강원도,201918,24
충청북도,201918,12
충청남도,201918,20
전라북도,201918,14
